Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
That film is scary.,Film itu menakutkan.,lesson8 en-id phrase
sibuk,busy,lesson9 descriptions id-en
my friend's wedding,pernikahan temanku,lesson9 people-culture en-id
tiga puluh,thirty
cancellation,pembatalan,lesson7 transport en-id
transportasi,transportation,lesson7 transport id-en
tidak seorang pun,nobody / no one
cuaca,weather,lesson1 adjectives-prefixes weather id-en
dasawarsa,decade (formal),lesson2 tenses time id-en
badai,storm,lesson7 health-weather id-en
terlewat,to miss (a bus),lesson7 transport id-en
money,uang,lesson3 shopping shopping en-id
sangat sibuk,very busy,lesson9 descriptions id-en
farmer,petani
kuliah,university study,lesson4 work-study id-en
singer (from menyanyi),penyanyi,lesson1 adjectives-prefixes grammar en-id
tomorrow,besok
dingin,cold,lesson1 adjectives-prefixes weather id-en
date (day number),tanggal,lesson2 tenses time en-id
downstairs,lantai bawah,lesson5 rooms en-id
to return,kembali,lesson6 movement en-id
biasanya,usually / normally
April,April
kontrak,lease / contract,lesson1 adjectives-prefixes rentals id-en
not as expensive as …,tidak semahal …,lesson9 comparison-misc en-id
That house is very clean.,Rumah itu sangat bersih.,lesson8 en-id phrase
meN- / ber-,verb-forming prefixes (active/intransitive),lesson1 adjectives-prefixes grammar id-en
bulanan,monthly
House prices depend on the location and the crime rate.,Harga rumah tergantung pada lokasi dan tingkat kriminalitasnya.
traffic jam,macet,lesson7 transport en-id
to clean (transitive),membersihkan,lesson8 cleanliness en-id
Tidak seorang pun menjawab telepon.,Nobody answered the phone.
musim,season,lesson1 adjectives-prefixes weather id-en
two months ago,dua bulan lalu,lesson2 tenses time en-id
right? (casual),ya kan,lesson6 fillers en-id
Biasanya saya tidur jam sebelas.,I usually sleep at eleven.
panas,hot,lesson1 adjectives-prefixes weather id-en
without,tanpa,lesson3 shopping coffee en-id
Amerika Selatan,South America,lesson4 travel id-en
demam,fever,lesson7 health-weather id-en
kiri,left (direction),lesson2 tenses directions id-en
silent,senyap,lesson8 qualities en-id
musim semi,spring,lesson1 adjectives-prefixes weather id-en
sembilan belas,nineteen
traffic is bad every day,jadi macet setiap hari,lesson5 phrases-grammar en-id
earlier (today),tadi
penting,important
berbahaya,dangerous,lesson4 safety-signs id-en
sport / exercise,olahraga,lesson6 sports en-id
apa pendapat kamu tentang ini?,what’s your opinion about this?,lesson5 phrases-grammar id-en
what are you doing?,ngapain?,lesson3 shopping misc en-id
scared / afraid,takut,lesson6 feelings-animals en-id
dua puluh,twenty
supaya,so that / in order to,lesson7 grammar-expressions id-en
bedroom,kamar,lesson5 rooms en-id
belanja,shopping,lesson8 money-shopping id-en
My neighbour is friendly and sure they can help.,Tetanggaku ramah dan yakin bisa membantu.,lesson9 en-id phrase
kanan,right (direction),lesson2 tenses directions id-en
before / previously,sebelumnya,lesson4 time en-id
Sebagian besar siswa paham.,Most students understand.
boat / ship,kapal,lesson4 travel en-id
mingguan,weekly
mobil,car,lesson7 transport id-en
penerbangan langsung,direct flight,lesson7 transport id-en
menarik,interesting,lesson9 descriptions id-en
pulau lain,other islands,lesson5 rooms id-en
tidak semahal …,not as expensive as …,lesson9 comparison-misc id-en
termasuk,including
mingguan,weekly,lesson3 shopping frequency id-en
very busy,sangat sibuk,lesson9 descriptions en-id
satwa,wildlife (animals),lesson4 safety-signs id-en
extra / additional,tambahan,lesson4 work-study en-id
dari dulu,since the beginning / all along,lesson4 time id-en
Harga tiketnya seratus lima belas ribu.,"The ticket price is 115,000."
badan,body,lesson1 adjectives-prefixes body id-en
can; be able to; (colloq.) get,dapat
kecelakaan,accident,lesson2 tenses accidents id-en
Biasanya saya olahraga sambil dengar musik.,I usually exercise while listening to music.,lesson6 id-en phrase
penuh,full,lesson7 transport id-en
ramah,friendly,lesson9 descriptions id-en
wildlife (animals),satwa,lesson4 safety-signs en-id
kemarin,yesterday
jauh,far (away),lesson9 travel-time id-en
to meet,bertemu,lesson3 shopping misc en-id
allergy / allergic,alergi,lesson8 health en-id
perhatian,attention (sign),lesson4 safety-signs id-en
the day after tomorrow,lusa,lesson2 tenses time en-id
most (superlative),paling,lesson9 travel-time en-id
tax / taxes,pajak,lesson8 money-shopping en-id
tambahan,extra / additional,lesson4 work-study id-en
mendapatkan (mendapat),to get; to obtain
Dia sering berlari di taman.,He/She often runs in the park.
"Several friends joined, but others didn’t.","Beberapa teman ikut, tapi yang lain tidak."
eighty,delapan puluh
salju,snow,lesson1 adjectives-prefixes weather id-en
one thousand,seribu
Sekarang saya di kantor; nanti saya pulang.,I’m at the office now; later I’ll go home.
sudah,already (marker),lesson2 tenses grammar id-en
masakan,cooked dish / cuisine,lesson6 food id-en
"I'm asking for water, please.","Saya minta air, tolong.",lesson6 en-id phrase
responsibility,tanggung jawab
kegiatan,activities,lesson8 activities-methods id-en
wife,istri
pajak,tax / taxes,lesson8 money-shopping id-en
bill / invoice,tagihan,lesson8 money-shopping en-id
to visit (transitive),mengunjungi,lesson2 tenses travel en-id
can (permission / request),boleh,lesson5 phrases-grammar en-id
masih,still,lesson8 quantifiers id-en
"For example, we can take the train.","Sebagai contoh, kita bisa naik kereta.",lesson9 en-id phrase
This tea is not hot anymore.,Teh ini tidak panas lagi.,lesson9 en-id phrase
ear,telinga,lesson6 health-comm en-id
My skin is itchy.,Kulit saya gatal.,lesson8 en-id phrase
perubahan iklim,climate change,lesson7 health-weather id-en
before / previously; first (let me …),dulu,lesson8 time-change en-id
barat daya,south-west
tidak pernah,never
warm,hangat,lesson1 adjectives-prefixes weather en-id
seven,tujuh
Saya demam hari ini.,I have a fever today.,lesson7 id-en phrase
nothing,tidak ada apa-apa
healthy,sehat,lesson1 adjectives-prefixes health en-id
"to the ... of (e.g., to the north of)",(di) sebelah ...
year,tahun,lesson2 tenses time en-id
Skotlandia,Scotland,lesson9 places id-en
beruntung,lucky
dua bulan lalu,two months ago,lesson2 tenses time id-en
potong rambut,haircut,lesson3 shopping shopping id-en
hati-hati,be careful,lesson4 safety-signs id-en
heart,hati,lesson4 safety-signs en-id
kecuali,except,lesson4 safety-signs id-en
to get; to obtain,mendapatkan (mendapat)
cheap,murah,lesson9 comparison-misc en-id
fifty,lima puluh
hot,panas,lesson1 adjectives-prefixes weather en-id
rewrite,tulis ulang,lesson7 transport en-id
musim kemarau,dry season,lesson1 adjectives-prefixes weather id-en
That office is on the tenth floor.,Kantor itu di lantai sepuluh.
banyak,many / much
My wife works in that village.,Istri saya bekerja di desa itu.
lebih awal,earlier,lesson5 time id-en
rainy season,musim hujan,lesson1 adjectives-prefixes weather en-id
cedera,injured,lesson2 tenses health id-en
Britania Raya,United Kingdom,lesson9 places id-en
three,tiga
Ulang tahun saya bulan Mei.,My birthday is in May.
wet,basah,lesson1 adjectives-prefixes weather en-id
He/She is eating (right now).,Dia sedang makan.,lesson2 tenses en-id phrase
utara,north
Freshwater and saltwater fish taste different.,Ikan sungai dan ikan laut berbeda rasa.,lesson6 en-id phrase
to move (house/country),pindah,lesson8 time-change en-id
They rarely go out at night.,Mereka jarang keluar malam.
pacar,girlfriend; boyfriend (partner)
Brazil,Brazil,lesson4 travel id-en
empat puluh,forty
kemampuan berbicara cepat,ability to speak quickly,lesson4 work-study id-en
Rumah itu sekitar sepuluh menit dari sungai.,That house is around ten minutes from the river.
"abstract noun/state (e.g., kebaikan)",ke- -an,lesson1 adjectives-prefixes grammar en-id
few / little,sedikit
Bali is to the east of Java.,Bali berada di sebelah timur Jawa.
boleh masuk?,can I enter?,lesson5 phrases-grammar id-en
boleh saya minta …,can I ask for …,lesson5 phrases-grammar id-en
sungai,river
there are two types,ada dua tipe,lesson7 grammar-expressions en-id
agreement,perjanjian
not as good as …,tidak sebagus …,lesson9 comparison-misc en-id
fourteen,empat belas
tagihan,bill / invoice,lesson8 money-shopping id-en
Wilayah ini lebih sunyi pada malam hari.,This area is quieter at night.,lesson8 id-en phrase
contoh,example,lesson9 travel-time id-en
We saw part of the city today and the rest tomorrow.,Kami melihat sebagian kota hari ini dan sisanya besok.
north-east,timur laut
sixty,enam puluh
(di) sebelah ...,"to the ... of (e.g., to the north of)"
Ada risiko jika kita tidak melindungi kebun dari hewan.,There is a risk if we don’t protect the garden from animals.
Local culture is interesting to study.,Budaya lokal menarik untuk dipelajari.,lesson9 en-id phrase
He/She often runs in the park.,Dia sering berlari di taman.
half,separuh,lesson8 quantifiers en-id
gunung,mountain,lesson9 places id-en
transportasi udara,air transportation,lesson7 transport id-en
since,sejak,lesson5 time en-id
last month,bulan lalu,lesson2 tenses time en-id
timur laut,north-east
sure / certain,yakin,lesson9 comparison-misc en-id
di mana pun,anywhere
every day,setiap hari,lesson3 shopping frequency en-id
seratus,one hundred
A direct flight is faster than taking the ferry.,Penerbangan langsung lebih cepat daripada jadwal penyeberangan.,lesson7 en-id phrase
butuh,need,lesson2 tenses needs id-en
turtle,kura-kura,lesson3 shopping misc en-id
kecuali,except,lesson6 fillers id-en
seseorang,somebody / someone
often,sering
akhir,end
pindah,to move (house/country),lesson8 time-change id-en
The front room is suitable for a small office.,Kamar depan cocok untuk kantor kecil.
to read,membaca,lesson4 verbs en-id
in progress (marker),sedang,lesson2 tenses grammar en-id
bis,bus (alt. spelling),lesson7 transport id-en
can I ask for …,boleh saya minta …,lesson5 phrases-grammar en-id
suhu,temperature,lesson1 adjectives-prefixes weather id-en
celaka,misfortune / damn!,lesson2 tenses accidents id-en
usual / normal,biasa,lesson4 time en-id
friendly,ramah,lesson9 descriptions en-id
setiap (hari/minggu/bulan),every (day/week/month)
hewan,animals,lesson4 safety-signs id-en
to happen; to occur,terjadi,lesson8 time-change en-id
sesuatu,some thing / something
animals,hewan,lesson4 safety-signs en-id
Scotland,Skotlandia,lesson9 places en-id
ten,sepuluh
next to,samping,lesson7 directions en-id
kebanyakan,most; too much
ongkos,fare / cost,lesson7 transport id-en
delapan puluh,eighty
Natal,Christmas
"Everything is good, right?","Semua baik, ya kan?",lesson6 en-id phrase
interesting,menarik,lesson9 descriptions en-id
inside,di dalam,lesson2 tenses location en-id
Mereka sudah tunangan tetapi belum menentukan tanggal.,They are engaged but haven’t set a date yet.
more (more often),lebih banyak,lesson7 grammar-expressions en-id
Jaraknya hampir seribu kilometer.,"The distance is almost 1,000 kilometres."
The fence is destroyed after the storm.,Pagarnya hancur setelah badai.
university study,kuliah,lesson4 work-study en-id
motorbike,motor,lesson2 tenses transport en-id
I have a fever today.,Saya demam hari ini.,lesson7 en-id phrase
kakek,grandfather,lesson5 family id-en
debu,dust,lesson8 cleanliness id-en
this is too expensive,ini terlalu mahal,lesson3 shopping shopping en-id
just (colloq.),aja,lesson7 grammar-expressions en-id
parents,orang tua
so that / in order to,supaya,lesson7 grammar-expressions en-id
the way of life of Indonesians,cara hidup orang Indonesia,lesson9 people-culture en-id
indah,beautiful (scenery/view),lesson1 adjectives-prefixes quality id-en
berbeda,different,lesson6 comparison id-en
bus stop,halte,lesson7 transport en-id
all / every,semua,lesson8 quantifiers en-id
west,barat
kerja,"work (verb/noun, colloq.)",lesson2 tenses work id-en
Dia sering bersin karena alergi.,He/She often sneezes because of an allergy.,lesson8 id-en phrase
Saya bertanya tentang perjanjian sewa.,I asked about the rental agreement.
what do you want to buy?,mau beli apa?,lesson3 shopping shopping en-id
yesterday,kemarin
We sometimes watch films.,Kami kadang-kadang menonton film.
decade,dekade,lesson2 tenses time en-id
10 tahun lalu,10 years ago,lesson2 tenses time id-en
sambil,while,lesson6 sports id-en
ketika,when (stating something that happened),lesson7 grammar-expressions id-en
everybody / everyone,semua orang
enam belas,sixteen
Keduanya setuju dengan janji itu.,Both of them agreed to that promise.
Mereka menerima perjanjian tersebut.,They accepted the agreement.
"""Garage for rent, contact…""","Disewakan garasi, hubungi…",lesson4 safety-signs en-id
basah,wet,lesson1 adjectives-prefixes weather id-en
motor,motorbike,lesson2 tenses transport id-en
tidak mahal,not expensive,lesson9 comparison-misc id-en
sebelumnya,before / previously,lesson4 time id-en
"Semua baik, ya kan?","Everything is good, right?",lesson6 id-en phrase
most; too much,kebanyakan
I clean the dust every morning.,Saya membersihkan debu setiap pagi.,lesson8 en-id phrase
riots / demonstrations,demo,lesson5 vocab en-id
We are responsible for the fence and the garage.,Kami bertanggung jawab atas pagar dan garasi.
minta,to ask (a request),lesson6 health-comm id-en
to rise / increase; to get on (a vehicle),naik,lesson8 time-change en-id
Natal biasanya kami habiskan bersama orang tua.,We usually spend Christmas with our parents.
Paling nyaman pergi pagi-pagi.,It's most comfortable to go early in the morning.,lesson9 id-en phrase
The price includes the fence and the garage.,Harga termasuk pagar dan garasi.
other / another,lain,lesson5 vocab en-id
tetanggaku,my neighbour(s),lesson9 people-culture id-en
five,lima
good (quality),bagus,lesson1 adjectives-prefixes quality en-id
Dataran tinggi di Sumatera Utara menarik.,The highlands in North Sumatra are interesting.,lesson9 id-en phrase
Musiknya terlalu keras.,The music is too loud.,lesson8 id-en phrase
sejak,since,lesson5 time id-en
attention (sign),perhatian,lesson4 safety-signs en-id
some thing / something,sesuatu
May,Mei
We want to change the fence in the garden.,Kami ingin mengubah pagar di kebun.
budaya,culture,lesson9 people-culture id-en
tanpa,without,lesson3 shopping coffee id-en
There’s a meeting tomorrow; there wasn’t one yesterday.,Besok ada rapat; kemarin tidak ada.
Makan di sini tidak semahal Dubai.,Eating here isn't as expensive as in Dubai.,lesson9 id-en phrase
I usually exercise while listening to music.,Biasanya saya olahraga sambil dengar musik.,lesson6 en-id phrase
biasanya,normally / usually,lesson4 time id-en
grandfather,kakek,lesson5 family en-id
to give / provide,memberikan,lesson4 verbs en-id
Seseorang mengetuk pintu.,Somebody knocked on the door.
sunyi,quiet / silent,lesson8 qualities id-en
two days ago,dua hari lalu,lesson5 time en-id
Kami kadang-kadang menonton film.,We sometimes watch films.
always,selalu,lesson3 shopping frequency en-id
listrik,electricity / electric,lesson8 tech-utilities id-en
kain,fabric,lesson3 shopping shopping id-en
Kantor itu di lantai sepuluh.,That office is on the tenth floor.
Selasa,Tuesday,lesson4 time id-en
Toko itu mengimpor buah dari luar negeri.,That shop imports fruit from abroad.
biasa,usual / normal,lesson4 time id-en
